@relation gps_data_extended_classes

@attribute obsID numeric
@attribute birdID numeric
@attribute day numeric
@attribute min numeric
@attribute speed numeric
@attribute area numeric
@attribute movement_time numeric
@attribute movement_ratio numeric
@attribute distance numeric
@attribute c3 numeric
@attribute c8 numeric
@attribute c16 numeric

@data
7469,167,186,772,0.415933,23.593994,5.087934,0.553598,18.381333,2,2,2
7470,167,186,773,0.350143,30.747286,10.44223,0.489956,21.312584,2,2,2
7471,167,186,773,0.238328,31.734085,5.738701,0.509017,22.548175,2,2,2
7477,167,186,775,0.438748,5.788788,4.737574,0.432599,10.951413,2,2,2
7480,167,186,775,0.156205,7.649336,8.98647,0.80883,11.110458,2,2,2
7481,167,186,776,0.553173,14.538217,6.706872,0.610609,10.983903,2,2,2
7483,167,186,776,0.154272,25.817817,6.163247,0.735604,16.756976,2,2,2
7485,167,186,777,0.134536,24.50775,7.752999,0.404367,19.173166,2,2,2
7450,167,186,767,0.074833,34.519032,9.566737,0.79918,23.941373,2,2,2
7491,167,186,778,?,27.186764,4.89747,0.687301,14.251308,2,2,2
7493,167,186,779,0.397492,40.071939,7.803757,0.822268,18.981061,2,2,2
7494,167,186,779,0.300832,47.103565,8.930343,0.848836,21.041394,1,3,6
7452,167,186,767,0.361248,15.78652,6.581784,0.362076,18.177896,1,3,6
7455,167,186,768,0.197484,17.108301,3.76663,0.370703,20.321574,2,2,2
7666,167,187,792,0.589746,257.50431,3.948651,0.91492,69.0535,2,2,2
7677,167,187,795,10.8759,20545.261197,296.1613,0.965898,613.234948,3,6,10
7678,167,187,795,10.796912,22938.281938,327.402,0.970961,674.387268,3,6,10
7679,167,187,795,8.803573,22680.881465,658.9351,0.97813,673.668245,3,6,10
7670,167,187,793,0.075498,13.067187,4.344735,0.55635,15.618721,1,4,5
7671,167,187,793,0.041231,9.722753,4.683066,0.621089,15.080169,1,4,5
7750,167,187,815,0.156525,15.568436,9.814754,0.980048,20.029118,1,3,6
7751,167,187,815,0.024495,13.152567,8.681462,0.978373,17.746735,1,3,6
7753,167,187,816,0.200998,16.871294,15.43721,0.961872,16.049128,1,3,6
7754,167,187,816,0.26096,22.446077,6.925886,0.899726,15.395548,2,2,2
7755,167,187,816,0.181934,19.008585,6.542373,0.831571,15.734972,2,2,2
7759,167,187,817,0.224944,9.609184,4.540027,0.7912,11.47631,2,2,2
