obsID,birdID,day,min,y,x,speed,prevDay,prevMin,prevY,prevX,prevSpeed,c3,c8,c16
3401,166,197,732,610226.075143619,210476.904163003,0.064031242,197,731,610230.737769994,210476.796851712,0.284429253,1,1,1
3402,166,197,732,610230.061301284,210475.098075837,0.152970585,197,732,610226.075143619,210476.904163003,0.064031242,1,1,1
3403,166,197,733,610231.943260271,210475.169174005,0.11045361,197,732,610230.061301284,210475.098075837,0.152970585,1,1,1
3404,166,197,734,610230.403613929,210474.861676381,0.024494897,197,733,610231.943260271,210475.169174005,0.11045361,1,1,1
3405,166,197,735,610229.424588975,210475.862505032,0.232808935,197,734,610230.403613929,210474.861676381,0.024494897,1,1,1
3406,166,197,735,610228.645603944,210475.878198405,0.107703296,197,735,610229.424588975,210475.862505032,0.232808935,1,4,5
3391,166,197,727,610228.813608039,210476.925463039,0.17,197,726,610226.331507009,210476.934386782,0.197230829,1,3,6
3409,166,197,737,610234.193648866,210475.335599638,0.458475735,197,736,610226.028520123,210473.850020529,0.50645829,1,1,1
3410,166,197,737,610230.289927366,210474.657138559,0.034641016,197,737,610234.193648866,210475.335599638,0.458475735,1,1,1
3412,166,197,738,610231.056144228,210475.458388921,0.106770783,197,738,610229.0402643,210474.399395692,0.067082039,1,1,1
3413,166,197,739,610228.158163639,210475.120192322,0.092736185,197,738,610231.056144228,210475.458388921,0.106770783,1,1,1
3415,166,197,740,610231.350022303,210473.927633277,0.117898261,197,739,610229.105806507,210474.292384212,0.059160798,1,1,1
3417,166,197,741,610224.617356786,210475.978136523,0.156843871,197,740,610230.594916522,210474.082501684,0.108627805,1,5,7
3418,166,197,741,610223.81102019,210475.555866773,0.075498344,197,741,610224.617356786,210475.978136523,0.156843871,1,5,7
3420,166,197,743,610229.090664769,210473.947248258,0.164924225,197,742,610229.769697673,210474.908886809,0.073484692,1,5,7
3422,166,197,744,610228.3814657,210474.221114322,0.192613603,197,743,610227.33562371,210473.303581657,0.070710678,1,5,7
