@relation gps_data_classes-weka.filters.unsupervised.attribute.Remove-V-R3-12

@attribute day numeric
@attribute min numeric
@attribute y numeric
@attribute x numeric
@attribute speed numeric
@attribute prevDay numeric
@attribute prevMin numeric
@attribute prevY numeric
@attribute prevX numeric
@attribute prevSpeed numeric

@data
186,999,610217.522802,210498.605524,0.243721,186,999,610209.574312,210496.60613,0.38833
186,999,610217.514683,210498.864603,0.307571,186,999,610217.522802,210498.605524,0.243721
186,1000,610226.321468,210500.010651,0.127279,186,1000,610227.679185,210499.988226,0.166733
186,995,610219.870114,210498.491906,0.046904,186,995,610213.025433,210497.608589,1.239718
186,1000,610215.67261,210498.394612,0.100499,186,1000,610226.321468,210500.010651,0.127279
186,996,610232.814253,210501.263286,0.214009,186,995,610219.870114,210498.491906,0.046904
186,1003,610219.906745,210498.770387,0.072801,186,1003,610219.113156,210498.487425,0.114018
186,996,610227.818696,210499.541682,0.394208,186,996,610232.814253,210501.263286,0.214009
186,1007,610223.992928,210500.781473,0.08775,186,1007,610224.97286,210500.816565,0.133791
186,1007,610225.842348,210500.925987,0.104881,186,1007,610223.992928,210500.781473,0.08775
186,1007,610222.086561,210499.568481,0.538145,186,1007,610225.842348,210500.925987,0.104881
186,1008,610223.540134,210498.216817,0.14,186,1007,610222.086561,210499.568481,0.538145
186,996,610221.340824,210498.614261,0.478435,186,996,610227.818696,210499.541682,0.394208
186,997,610214.78619,210498.74359,0.053852,186,996,610221.340824,210498.614261,0.478435
186,997,610211.725371,210497.803001,0.156525,186,997,610214.78619,210498.74359,0.053852
189,774,610326.442589,210502.718012,0.486724,189,773,610329.956789,210509.144974,0.733417
189,775,610322.25487,210464.198769,0.260192,189,775,610323.702899,210462.369093,0.286007
189,775,610321.706328,210462.013783,0.024495,189,775,610322.25487,210464.198769,0.260192
189,775,610317.816976,210461.614059,0.392301,189,775,610321.706328,210462.013783,0.024495
189,776,610316.973858,210460.900041,0.18412,189,775,610317.816976,210461.614059,0.392301
189,777,610297.383931,210471.486853,0.147309,189,777,610299.003085,210469.05753,0.229347
189,777,610299.019306,210469.495615,0.372022,189,777,610297.383931,210471.486853,0.147309
189,778,610296.920757,210467.069649,0.190526,189,778,610298.866599,210468.806776,0.053852
189,778,610297.135997,210467.392534,0.377624,189,778,610296.920757,210467.069649,0.190526
189,767,610319.768556,210522.252245,0.547083,189,766,610321.554642,210526.521225,0.070711
189,767,610333.725794,210510.681578,0.05,189,767,610333.821713,210510.315237,0.178045
189,767,610333.421052,210510.319896,0.129615,189,767,610333.725794,210510.681578,0.05
189,768,610333.196919,210510.189693,0.03,189,767,610333.421052,210510.319896,0.129615
190,854,610252.521288,210433.698671,0.407185,190,854,610252.876402,210434.564463,0.646916
190,854,610254.795326,210431.109001,0.033166,190,854,610252.521288,210433.698671,0.407185
190,855,610250.19032,210435.21987,0.022361,190,854,610254.795326,210431.109001,0.033166
190,856,610250.938061,210427.720611,0.278029,190,856,610252.294825,210428.574773,0.140357
190,857,610248.061572,210427.315732,0.072801,190,857,610245.237163,210424.68565,0.286531
190,858,610244.799491,210424.378624,0.186815,190,857,610248.061572,210427.315732,0.072801
190,858,610243.038212,210423.197126,0.412432,190,858,610244.799491,210424.378624,0.186815
190,858,610242.572953,210425.307595,0.041231,190,858,610243.695662,210427.09416,0.204939
190,859,610238.468775,210426.537274,0.498297,190,859,610238.113845,210424.728512,0.93819
190,852,610256.671265,210436.412958,0.433705,190,852,610259.166089,210437.499602,0.033166
190,861,610234.208498,210429.66134,0.115758,190,860,610234.639282,210430.33368,0.071414
190,861,610230.250096,210425.231532,0.163095,190,861,610234.208498,210429.66134,0.115758
190,861,610229.555935,210423.924751,0.239583,190,861,610230.250096,210425.231532,0.163095
190,861,610222.836679,210431.925024,0.46669,190,861,610229.555935,210423.924751,0.239583
190,862,610221.815725,210431.232973,0.457165,190,861,610222.836679,210431.925024,0.46669
190,862,610223.271318,210432.929351,0.145945,190,862,610221.815725,210431.232973,0.457165
190,862,610221.790052,210429.021944,0.580086,190,862,610223.271318,210432.929351,0.145945
190,863,610220.178874,210430.222683,0.106301,190,863,610221.29252,210427.394128,0.139642
190,865,610212.570661,210435.477441,0.116619,190,864,610211.713384,210435.460834,0.156205
192,924,610237.835566,210465.936669,0.05,192,923,610241.140205,210467.744358,0.31209
192,924,610235.428997,210468.614233,0.498096,192,924,610237.835566,210465.936669,0.05
192,924,610233.761585,210472.637894,0.278209,192,924,610235.428997,210468.614233,0.498096
192,924,610235.762363,210475.270885,0.269258,192,924,610233.761585,210472.637894,0.278209
192,925,610238.585204,210480.636889,0.330151,192,925,610235.694992,210478.093925,0.254558
192,925,610240.342759,210483.412154,0.540925,192,925,610238.585204,210480.636889,0.330151
192,925,610240.485293,210487.056186,0.243516,192,925,610240.342759,210483.412154,0.540925
192,926,610244.329957,210488.399381,0.163095,192,925,610240.485293,210487.056186,0.243516
192,921,610261.197097,210464.775391,0.450333,192,919,610269.344942,210464.773689,0.133791
192,928,610256.38491,210495.11233,0.405709,192,927,610254.669937,210492.170569,0.243721
192,928,610258.972657,210495.573649,0.5001,192,928,610256.38491,210495.11233,0.405709
192,928,610257.184456,210494.950302,0.139284,192,928,610258.972657,210495.573649,0.5001
192,922,610254.792747,210459.63695,0.100499,192,921,610261.197097,210464.775391,0.450333
192,930,610257.530024,210494.036526,0.123693,192,929,610258.077452,210494.209458,0.09434
192,932,610257.241816,210494.139485,0.075498,192,931,610257.666419,210495.236884,0.09434
192,932,610258.065936,210494.176389,0.061644,192,932,610257.241816,210494.139485,0.075498
192,932,610259.788301,210493.923946,0.253574,192,932,610258.065936,210494.176389,0.061644
192,933,610256.597494,210492.334098,0.107238,192,932,610259.788301,210493.923946,0.253574
192,934,610256.563319,210493.224333,0.140357,192,933,610256.620896,210493.389678,0.051962
192,935,610256.673611,210493.136723,0.086603,192,934,610256.63042,210492.293872,0.132665
192,935,610256.813107,210493.646426,0.05099,192,935,610256.673611,210493.136723,0.086603
192,935,610255.681067,210493.931849,0.115326,192,935,610256.813107,210493.646426,0.05099
194,1035,610262.804448,210494.851765,0.216564,194,1024,610232.292737,210444.890577,0.117898
194,1045,610251.712685,210481.945246,0.06,194,1035,610262.804448,210494.851765,0.216564
194,1056,610253.262707,210481.22997,0.080623,194,1045,610251.712685,210481.945246,0.06
195,635,610298.246734,210521.765472,0.054772,195,634,610288.862145,210519.749655,0.192614
195,639,610290.575022,210498.579646,0.124499,195,639,610290.492212,210501.030964,0.35171
195,640,610282.172846,210496.811339,0.880965,195,639,610290.575022,210498.579646,0.124499
195,640,610280.913915,210490.969017,0.088318,195,640,610282.172846,210496.811339,0.880965
195,641,610277.062736,210490.980583,0.27037,195,640,610280.913915,210490.969017,0.088318
195,642,610274.803347,210488.124848,0.35623,195,642,610278.087618,210488.179639,0.383406
195,643,610267.247276,210489.241966,0.160935,195,643,610269.487648,210487.588987,0.219317
195,644,610270.330677,210489.252608,0.232164,195,644,610270.469386,210490.652153,0.141774
195,645,610266.884113,210483.854051,0.498297,195,645,610270.541043,210485.325594,0.136382
195,646,610267.695303,210480.863011,0.123693,195,645,610266.884113,210483.854051,0.498297
195,646,610267.161449,210478.027056,0.134907,195,646,610267.695303,210480.863011,0.123693
195,646,610265.598446,210478.583106,0.051962,195,646,610267.161449,210478.027056,0.134907
195,648,610257.236648,210475.499451,0.328329,195,647,610261.399665,210476.460438,0.865794
195,636,610304.971891,210527.683632,0.487442,195,636,610301.175773,210523.816526,0.224944
195,648,610259.245524,210474.997984,0.074833,195,648,610257.236648,210475.499451,0.328329
195,649,610257.085601,210476.869165,0.01,195,648,610259.245524,210474.997984,0.074833
195,649,610252.071409,210480.247728,0.380657,195,649,610252.769472,210476.142377,0.184932
195,650,610254.770543,210479.758159,0.13,195,649,610252.071409,210480.247728,0.380657
195,650,610256.541902,210479.890305,0.04,195,650,610254.770543,210479.758159,0.13
195,636,610306.667052,210527.006504,0.284429,195,636,610304.971891,210527.683632,0.487442
195,651,610254.697421,210480.170724,0.065574,195,651,610253.551858,210480.250444,0.106301
195,651,610256.320239,210479.972568,0.108628,195,651,610254.697421,210480.170724,0.065574
195,652,610256.30778,210480.816066,0.100499,195,651,610256.320239,210479.972568,0.108628
195,653,610256.524042,210480.269025,0.072801,195,652,610256.670654,210480.433336,0.104403
195,653,610256.482379,210480.515211,0.20025,195,653,610256.524042,210480.269025,0.072801
195,653,610255.948242,210480.528059,0.083066,195,653,610256.482379,210480.515211,0.20025
195,653,610255.326536,210480.668097,0.08775,195,653,610255.948242,210480.528059,0.083066
195,637,610303.86694,210523.59929,0.128841,195,636,610306.667052,210527.006504,0.284429
195,654,610256.097864,210480.951317,0.03,195,654,610256.482456,210480.521851,0.09798
195,655,610255.736319,210480.490679,0.070711,195,654,610256.097864,210480.951317,0.03
195,655,610256.546301,210480.268767,0.094868,195,655,610255.736319,210480.490679,0.070711
195,655,610256.073059,210480.732467,0.129615,195,655,610256.546301,210480.268767,0.094868
195,656,610256.412267,210481.186724,0.067082,195,656,610256.315669,210480.53707,0.150997
195,637,610302.19971,210520.935915,0.858254,195,637,610303.86694,210523.59929,0.128841
195,657,610256.480913,210480.389057,0.024495,195,656,610256.412267,210481.186724,0.067082
195,657,610256.746091,210480.219961,0.057446,195,657,610256.480913,210480.389057,0.024495
195,657,610256.760384,210480.492058,0.031623,195,657,610256.746091,210480.219961,0.057446
195,659,610324.145186,210498.508097,9.224213,195,658,610256.007748,210480.859397,0.189209
195,660,610283.65033,210327.792531,11.793002,195,659,610324.145186,210498.508097,9.224213
195,661,610289.31872,210426.856611,0.017321,195,660,610324.304416,210452.826374,8.48478
